"ID of id","nodeName","signature","ID of typeid","ID of parentid","ID of sourceid"
13420,"UnsupportedOperationException","UnsupportedOperationException(java.lang.String)",71,8325,13420
13422,"UnsupportedOperationException","UnsupportedOperationException()",71,8325,13422
13426,"VirtualMachineError","VirtualMachineError(java.lang.Throwable)",71,11289,13426
13428,"VirtualMachineError","VirtualMachineError(java.lang.String,java.lang.Throwable)",71,11289,13428
13431,"VirtualMachineError","VirtualMachineError(java.lang.String)",71,11289,13431
13433,"VirtualMachineError","VirtualMachineError()",71,11289,13433
13442,"WrongThreadException","WrongThreadException(java.lang.Throwable)",71,13439,13442
13444,"WrongThreadException","WrongThreadException(java.lang.String,java.lang.Throwable)",71,13439,13444
13447,"WrongThreadException","WrongThreadException(java.lang.String)",71,13439,13447
13449,"WrongThreadException","WrongThreadException()",71,13439,13449
13491,"Enum<ElementType>","Enum<ElementType>(java.lang.String,int)",71,13471,7932
13533,"Enum<RetentionPolicy>","Enum<RetentionPolicy>(java.lang.String,int)",71,13513,7932
13620,"Enum<Kind>","Enum<Kind>(java.lang.String,int)",71,13600,7932
13810,"AbstractLayout","AbstractLayout(long,long,java.util.Optional)",71,13777,13810
13850,"Enum<Kind>","Enum<Kind>(java.lang.String,int)",71,13830,7932
13895,"GroupLayout","GroupLayout(java.lang.foreign.GroupLayout.Kind,java.util.List,long,java.util.Optional)",71,13855,13895
13900,"GroupLayout","GroupLayout(java.lang.foreign.GroupLayout.Kind,java.util.List)",71,13855,13900
14561,"SequenceLayout","SequenceLayout(long,java.lang.foreign.MemoryLayout,long,java.util.Optional)",71,14104,14561
14566,"SequenceLayout","SequenceLayout(long,java.lang.foreign.MemoryLayout)",71,14104,14566
14585,"OfAddress","OfAddress(java.nio.ByteOrder,long,long,java.util.Optional)",71,13909,14585
14590,"OfAddress","OfAddress(java.nio.ByteOrder)",71,13909,14590
14606,"OfBoolean","OfBoolean(java.nio.ByteOrder,long,java.util.Optional)",71,14042,14606
14610,"OfBoolean","OfBoolean(java.nio.ByteOrder)",71,14042,14610
14626,"OfByte","OfByte(java.nio.ByteOrder,long,java.util.Optional)",71,14052,14626
14630,"OfByte","OfByte(java.nio.ByteOrder)",71,14052,14630
14646,"OfChar","OfChar(java.nio.ByteOrder,long,java.util.Optional)",71,13969,14646
14650,"OfChar","OfChar(java.nio.ByteOrder)",71,13969,14650
14666,"OfDouble","OfDouble(java.nio.ByteOrder,long,java.util.Optional)",71,13919,14666
14670,"OfDouble","OfDouble(java.nio.ByteOrder)",71,13919,14670
14686,"OfFloat","OfFloat(java.nio.ByteOrder,long,java.util.Optional)",71,13939,14686
14690,"OfFloat","OfFloat(java.nio.ByteOrder)",71,13939,14690
14706,"OfInt","OfInt(java.nio.ByteOrder,long,java.util.Optional)",71,13949,14706
14710,"OfInt","OfInt(java.nio.ByteOrder)",71,13949,14710
14726,"OfLong","OfLong(java.nio.ByteOrder,long,java.util.Optional)",71,13929,14726
14730,"OfLong","OfLong(java.nio.ByteOrder)",71,13929,14730
14746,"OfShort","OfShort(java.nio.ByteOrder,long,java.util.Optional)",71,13959,14746
14750,"OfShort","OfShort(java.nio.ByteOrder)",71,13959,14750
14780,"ValueLayout","ValueLayout(java.lang.Class,java.nio.ByteOrder,long,long,java.util.Optional)",71,14109,14780
14786,"ValueLayout","ValueLayout(java.lang.Class,java.nio.ByteOrder,long)",71,14109,14786
14889,"Factory","Factory()",71,14805,14889
14890,"Factory<>","Factory<>()",71,14804,14889
14895,"Factory","Factory()",71,14799,14895
14941,"ClassSpecializer","ClassSpecializer(java.lang.Class,java.lang.Class,java.lang.Class,java.lang.invoke.MethodType,java.lang.invoke.MemberName,java.lang.String,java.util.List)",71,14809,14941
14952,"ClassSpecializer<BoundMethodHandle,String,SpeciesData>","ClassSpecializer<BoundMethodHandle,String,SpeciesData>(java.lang.Class,java.lang.Class,java.lang.Class,java.lang.invoke.MethodType,java.lang.invoke.MemberName,java.lang.String,java.util.List)",71,14808,14941
15052,"SpeciesData","SpeciesData(java.lang.Object)",71,14835,15052
15054,"SpeciesData<>","SpeciesData<>(java.lang.String)",71,14840,15052
15075,"SpeciesData","SpeciesData(java.lang.invoke.BoundMethodHandle.Specializer,java.lang.String)",71,14803,15075
15148,"BoundMethodHandle","BoundMethodHandle(java.lang.invoke.MethodType,java.lang.invoke.LambdaForm)",71,14802,15148
15173,"CallSite","CallSite(java.lang.invoke.MethodType,java.lang.invoke.MethodHandle)",71,15152,15173
15177,"CallSite","CallSite(java.lang.invoke.MethodHandle)",71,15152,15177
15179,"CallSite","CallSite(java.lang.invoke.MethodType)",71,15152,15179
15353,"Invokers","Invokers(java.lang.invoke.MethodType)",71,15283,15353
15383,"Enum<BasicType>","Enum<BasicType>(java.lang.String,int)",71,15363,7932
15462,"Enum<Kind>","Enum<Kind>(java.lang.String,int)",71,15442,7932
15590,"Name","Name(java.lang.invoke.LambdaForm.BasicType)",71,15230,15590
15592,"Name","Name(int,java.lang.invoke.LambdaForm.BasicType)",71,15230,15592
15595,"Name","Name(java.lang.invoke.LambdaForm.NamedFunction,java.lang.Object[])",71,15230,15595
15598,"Name","Name(java.lang.invoke.MemberName,java.lang.Object[])",71,15230,15598
15601,"Name","Name(java.lang.invoke.MethodType,java.lang.Object[])",71,15230,15601
15604,"Name","Name(java.lang.invoke.MethodHandle,java.lang.Object[])",71,15230,15604
15643,"NamedFunction","NamedFunction(java.lang.invoke.MemberName)",71,14864,15643
15645,"NamedFunction","NamedFunction(java.lang.reflect.Method)",71,14864,15645
15647,"NamedFunction","NamedFunction(java.lang.invoke.MethodType)",71,14864,15647
15649,"NamedFunction","NamedFunction(java.lang.invoke.MemberName,java.lang.invoke.MethodHandle)",71,14864,15649
15652,"NamedFunction","NamedFunction(java.lang.invoke.MethodHandle)",71,14864,15652
15749,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[],boolean,java.lang.invoke.LambdaForm.Kind)",71,15086,15749
15754,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[],java.lang.invoke.LambdaForm.Kind)",71,15086,15754
15758,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[])",71,15086,15758
15761,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[],int,boolean,java.lang.invoke.MethodHandle,java.lang.invoke.LambdaForm.Kind)",71,15086,15761
15768,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[],int,boolean,java.lang.invoke.MethodHandle)",71,15086,15768
15774,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[],int,java.lang.invoke.LambdaForm.Kind)",71,15086,15774
15779,"LambdaForm","LambdaForm(int,java.lang.invoke.LambdaForm.Name[],int)",71,15086,15779
15941,"MemberName","MemberName(byte,java.lang.Class,java.lang.String,java.lang.Object)",71,14937,15941
15946,"MemberName","MemberName(java.lang.Class,java.lang.String,java.lang.invoke.MethodType,byte)",71,14937,15946
15951,"MemberName","MemberName(java.lang.Class,java.lang.String,java.lang.Class,byte)",71,14937,15951
15963,"MemberName","MemberName()",71,14937,15963
15978,"MemberName","MemberName(java.lang.Class)",71,14937,15978
15983,"MemberName","MemberName(java.lang.reflect.Field,boolean)",71,14937,15983
15986,"MemberName","MemberName(java.lang.reflect.Field)",71,14937,15986
15988,"MemberName","MemberName(java.lang.reflect.Constructor)",71,14937,15988
15993,"MemberName","MemberName(java.lang.reflect.Method,boolean)",71,14937,15993
15996,"MemberName","MemberName(java.lang.reflect.Method)",71,14937,15996
16192,"MethodHandle","MethodHandle(java.lang.invoke.MethodType,java.lang.invoke.LambdaForm)",71,8298,16192
16220,"Enum<ArrayAccess>","Enum<ArrayAccess>(java.lang.String,int)",71,16200,7932
16250,"CasesHolder","CasesHolder(java.lang.invoke.MethodHandle[])",71,16244,16250
16278,"Enum<Intrinsic>","Enum<Intrinsic>(java.lang.String,int)",71,16258,7932
16309,"LoopClauses","LoopClauses(java.lang.invoke.MethodHandle[][])",71,16301,16309
16477,"MethodHandleImpl","MethodHandleImpl()",71,16225,16477
16567,"Enum<ClassOption>","Enum<ClassOption>(java.lang.String,int)",71,16547,7932
16790,"Lookup","Lookup(java.lang.Class)",71,10856,16790
17071,"ConcurrentWeakInternSet","ConcurrentWeakInternSet()",71,17063,17071
17235,"MethodTypeForm","MethodTypeForm(java.lang.invoke.MethodType)",71,17205,17235
17337,"VarForm","VarForm(java.lang.Class,java.lang.Class[])",71,17311,17337
17340,"VarForm","VarForm(java.lang.Class,java.lang.Class,java.lang.Class,java.lang.Class[])",71,17311,17340
17357,"AccessDescriptor","AccessDescriptor(java.lang.invoke.MethodType,int,int)",71,15319,17357
17389,"Enum<AccessMode>","Enum<AccessMode>(java.lang.String,int)",71,17369,7932
17461,"Enum<AccessType>","Enum<AccessType>(java.lang.String,int)",71,17441,7932
17501,"DynamicConstantDesc<VarHandle>","DynamicConstantDesc<VarHandle>(java.lang.constant.DirectMethodHandleDesc,java.lang.String,java.lang.constant.ClassDesc,java.lang.constant.ConstantDesc[])",71,17488,11002
17691,"VarHandle","VarHandle(java.lang.invoke.VarForm,boolean)",71,14127,17691
17694,"VarHandle","VarHandle(java.lang.invoke.VarForm)",71,14127,17694
17704,"WrongMethodTypeException","WrongMethodTypeException(java.lang.Throwable)",71,15315,17704
17706,"WrongMethodTypeException","WrongMethodTypeException(java.lang.String,java.lang.Throwable)",71,15315,17706
17709,"WrongMethodTypeException","WrongMethodTypeException(java.lang.String)",71,15315,17709
17711,"WrongMethodTypeException","WrongMethodTypeException()",71,15315,17711
17765,"Configuration","Configuration(java.lang.module.ModuleFinder,java.util.Map)",71,11503,17765
17854,"Builder","Builder(java.lang.String,boolean,java.util.Set)",71,17769,17854
17898,"Enum<Modifier>","Enum<Modifier>(java.lang.String,int)",71,17878,7932
